card,split,TETA,LocA,AssocA,ClsA,LocRe,LocPr,AssocRe,AssocPr,ClsRe,ClsPr
B0_OFFICIAL_V11,base,39.318161,56.859325,42.506322,18.588787,59.387335,79.303387,48.533220,65.121126,26.422002,26.254912
B0_OFFICIAL_V11,overall,38.434000,56.609000,42.057000,16.636000,59.099000,78.842000,48.092000,64.564000,23.552000,23.838000
B0_OFFICIAL_V11,novel,31.840454,54.744829,38.706291,2.070114,56.949343,75.404057,44.797737,60.411600,2.147914,5.814343
D1_LS010,base,39.320347,56.881209,42.475308,18.604475,59.382223,79.334766,48.126013,65.772222,26.459956,26.410731
D1_LS010,overall,38.437000,56.640000,41.990000,16.679000,59.097000,78.896000,47.617000,65.225000,23.620000,23.989000
D1_LS010,novel,31.846103,54.840457,38.375137,2.322534,56.974171,75.625829,43.825457,61.142914,2.445414,5.928629
D2_LS025,base,39.314925,56.881968,42.465043,18.597743,59.382533,79.335563,48.118503,65.769621,26.453025,26.410669
D2_LS025,overall,38.432000,56.641000,41.981000,16.673000,59.098000,78.897000,47.611000,65.223000,23.614000,23.989000
D2_LS025,novel,31.846017,54.839943,38.375411,2.322534,56.973685,75.625829,43.825514,61.143914,2.445414,5.928629
D3_LS050,base,39.319757,56.881347,42.471806,18.606077,59.382345,79.335169,48.126426,65.768437,26.459446,26.413747
D3_LS050,overall,38.436000,56.640000,41.987000,16.681000,59.098000,78.897000,47.618000,65.222000,23.620000,23.992000
D3_LS050,novel,31.846017,54.839943,38.375411,2.322534,56.973685,75.625829,43.825514,61.143914,2.445414,5.928629
D4_LS100,base,39.317435,56.872324,42.452007,18.628028,59.375315,79.334261,48.112384,65.772847,26.458646,26.434448
D4_LS100,overall,38.419000,56.632000,41.924000,16.700000,59.091000,78.896000,47.605000,65.176000,23.619000,24.010000
D4_LS100,novel,31.715331,54.839943,37.983403,2.322534,56.973685,75.625829,43.825514,60.724571,2.445414,5.928629
