card,split,TETA,LocA,AssocA,ClsA,LocRe,LocPr,AssocRe,AssocPr,ClsRe,ClsPr
B0_OFFICIAL_V11,overall,38.215000,56.718000,41.252000,16.674000,59.310000,78.505000,48.311000,60.239000,23.201000,24.451000
B0_OFFICIAL_V11,base,39.120998,56.974662,41.762096,18.626152,59.606699,78.953027,48.864061,60.718628,26.026049,26.968438
B0_OFFICIAL_V11,novel,31.458529,54.805229,37.451989,2.118229,57.101714,75.167029,44.183709,56.659200,2.133657,5.676400
B1_DSSL_ARCH_ONLY,overall,37.965000,56.686000,40.943000,16.265000,59.287000,78.505000,47.637000,60.869000,22.806000,23.340000
B1_DSSL_ARCH_ONLY,base,38.857909,56.937431,41.529616,18.106594,59.578434,78.946598,48.258716,61.484682,25.517636,25.552834
B1_DSSL_ARCH_ONLY,novel,31.304294,54.813857,36.564586,2.534371,57.113800,75.208971,42.996740,56.273429,2.580714,6.835286
D1_LS010,overall,37.979000,56.682000,40.973000,16.281000,59.288000,78.492000,47.646000,60.928000,22.804000,23.375000
D1_LS010,base,38.862400,56.947497,41.515255,18.124385,59.589817,78.943582,48.253746,61.439238,25.515359,25.593485
D1_LS010,novel,31.389837,54.704771,36.930257,2.534371,57.041000,75.128657,43.117254,57.113286,2.580714,6.835286
D2_LS025,overall,37.969000,56.687000,40.938000,16.281000,59.292000,78.497000,47.645000,60.864000,22.804000,23.373000
D2_LS025,base,38.863369,56.947907,41.517838,18.124334,59.590326,78.943483,48.265777,61.439540,25.515480,25.591155
D2_LS025,novel,31.297237,54.744686,36.612457,2.534371,57.067943,75.169143,43.014769,56.571171,2.580714,6.835286
D3_LS050,overall,37.981000,56.686000,40.976000,16.281000,59.291000,78.498000,47.646000,60.950000,22.804000,23.373000
D3_LS050,base,38.862572,56.946171,41.517443,18.124058,59.588648,78.944111,48.251295,61.468759,25.515499,25.590357
D3_LS050,novel,31.407637,54.749000,36.939400,2.534371,57.072343,75.169343,43.132683,57.082286,2.580714,6.835286
D4_LS100,overall,37.982000,56.682000,41.023000,16.241000,59.287000,78.499000,47.644000,61.064000,22.757000,23.230000
D4_LS100,base,38.884308,56.957259,41.571197,18.124427,59.599166,78.946962,48.254183,61.570310,25.512711,25.581465
D4_LS100,novel,31.253037,54.628743,36.934286,2.196057,56.959657,75.160057,43.090483,57.286629,2.204514,5.692429
